Table,Category,T22 Name,Name in Permit,DB Name,DB Units,Reg Limit,Reg Unit,Reg Type,Notes
64431-A,Inorganic Chemicals,Aluminum,Aluminum,Aluminum ,mg/L,1,mg/L,,
64431-A,Inorganic Chemicals,Antimony,Antimony,Antimony ,ug/L,0.006,mg/L,PMCL,
64431-A,Inorganic Chemicals,Arsenic,Arsenic,Arsenic ,ug/L,0.01,mg/L,PMCL,
64431-A,Inorganic Chemicals,Asbestos,Asbestos,Asbestos ,MFL,7,MFL,PMCL,
64431-A,Inorganic Chemicals,Barium,Barium,Barium ,ug/L,1,mg/L,,
64431-A,Inorganic Chemicals,Beryllium,Beryllium,Beryllium ,ug/L,0.004,mg/L,PMCL,
64431-A,Inorganic Chemicals,Cadmium,Cadmium,Cadmium ,ug/L,0.005,mg/L,PMCL,
64431-A,Inorganic Chemicals,Chromium (Total),Chromium (Total),Total Chromium ,ug/L,0.05,mg/L,,
64431-A,Inorganic Chemicals,Cyanide,Cyanide,Cyanide ,mg/L,0.15,mg/L,MCL,
64431-A,Inorganic Chemicals,Fluoride,Fluoride,Fluoride ,mg/L,2,mg/L,MCL,
64431-A,Inorganic Chemicals,Hexavalent chromium,Chromium VI ,Hexavalent Chromium (Cr VI),ug/L,0.01,mg/L,PMCL,
64431-A,Inorganic Chemicals,Mercury,Mercury,Mercury ,ug/L,0.002,mg/L,MCL,
64431-A,Inorganic Chemicals,Nickel,Nickel,Nickel ,ug/L,0.1,mg/L,MCL,
64431-A,Inorganic Chemicals,Nitrate (as nitrogen),Nitrate (as N),Nitrate ( as N),mg/L,10,mg/L,MCL,Type 0; Compliance point at Advanced Water Treatment Plant prior to GW --> does not need to be monitored in GW
64431-A,Inorganic Chemicals,Nitrate+Nitrite (sum as nitrogen),Nitrate plus Nitrite,"Total Nitrate, Nitrite-N, CALC ",mg/L,10,mg/L,MCL,Type 0; Compliance point at Advanced Water Treatment Plant prior to GW --> does not need to be monitored in GW
64431-A,Inorganic Chemicals,Nitrite (as nitrogen),Nitrite (as N),"Nitrite, Nitrogen by IC ",mg/L,1,mg/L,MCL,Type 0; Compliance point at Advanced Water Treatment Plant prior to GW --> does not need to be monitored in GW
64431-A,Inorganic Chemicals,Perchlorate,Perchlorate,Perchlorate ,ug/L,0.006,mg/L,MCL,
64431-A,Inorganic Chemicals,Selenium,Selenium,Selenium ,ug/L,0.05,mg/L,MCL,
64431-A,Inorganic Chemicals,Thallium,Thallium,Thallium ,ug/L,0.002,mg/L,MCL,
64442,Radionuclides,Radium-226,Radium 226,Radium 226 ,pCi/L,,,,
64442,Radionuclides,Radium-228 (combined radium-226 & -228),Combined Radium-226 and Radium-228 ,Radium 226 and 228 ,pCi/L,5,pCi/L ,MCL,
64442,Radionuclides,Gross Alpha particle activity (excluding radon and uranium),Gross Alpha Particle Activity (Including Radium- 226 but Excluding Radon and Uranium) ,Gross Alpha particle activity (excluding radon and uranium) ,pCi/L,15,pCi/L ,MCL,
64442,Radionuclides,Uranium,Uranium ,Uranium ,pCi/L,20,pCi/L ,MCL,
64443,Radionuclides,Gross Beta Particle Activity (Beta/photon emitters),Gross Beta Particle Activity ,Gross Beta ,pCi/L,50,pCi/L,MCL,
64443,Radionuclides,Strontium-90,Strontium 90,Strontium 90 ,pCi/L,8,pCi/L,MCL,
64443,Radionuclides,Tritium,Tritium ,Tritium ,pCi/L,20000,pCi/L,MCL,
64444-A,VOCs,Benzene,Benzene,Benzene ,ug/L,0.001,mg/L,MCL,
64444-A,VOCs,Carbon Tetrachloride (CTC),Carbon Tetrachloride (CTC),Carbon Tetrachloride ,ug/L,0.0005,mg/L,MCL,
64444-A,VOCs,"1,2-Dichlorobenzene","1,2-Dichlorobenzene ","o-Dichlorobenzene (1,2-DCB)",ug/L,0.6,mg/L,MCL,
64444-A,VOCs,"1,4-Dichlorobenzene","1,4-Dichlorobenzene ",p-Dichlorobenzene ,ug/L,0.005,mg/L,MCL,
64444-A,VOCs,"1,1-Dichloroethane","1,1-Dichloroethane","1,1-Dichloroethane ",ug/L,0.005,mg/L,MCL,
64444-A,VOCs,"1,2-Dichloroethane (1,2-DCA)","1,2-Dichloroethane (1,2 DCA)","1,2-Dichloroethane ",ug/L,0.0005,mg/L,MCL,
64444-A,VOCs,"1,1-Dichloroethylene (1,1-DCE)","1,1-Dichloroethene (1,1 DCE) ","1,1-Dichloroethylene ",ug/L,0.006,mg/L,MCL,
64444-A,VOCs,"cis-1,2-Dichloroethylene","cis-1,2-Dichloroethylene ","cis-1,2-Dichloroethylene ",ug/L,0.006,mg/L,MCL,
