Site,Constituent,c_nounits,STORET,Units,Date Range,Count,Methods,Nr. Non-Detects,Detection Rate,DateOfMax,Min,25th %ile,Mean,Median,75th %ile,Max,DL min,DL max,mann-kendall stats,trend,s,p,slope,intercept,Action,Notes
570001,Alkalinity (mg/L),Alkalinity,410,mg/L,2020-2022,5,['SM 2320B'],0,100.0,2020-07-09,140.0,160.0,166.0,160.0,180.0,190.0,2.0,2.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.3122163883433191, z=-1.0105823052798228, Tau=-0.5, s=-5.0, var_s=15.666666666666666, slope=-12.5, intercept=185.0)",no trend,-5.0,0.3122163883433191,-12.5,185.0,TO REVIEW,Pending statistical analysis
570001,DEET (ng/L),DEET,WRD36,ng/L,2019-2022,9,['LC-MS-MS'],2,77.77777777777777,2020-04-22,10.0,13.0,35.04761904761907,26.0,40.0,120.0,10.0,100.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2514521865080219, z=-1.1468292773139113, Tau=-0.3333333333333333, s=-12.0, var_s=92.0, slope=-4.666666666666666, intercept=46.666666666666664)",no trend,-12.0,0.2514521865080219,-4.666666666666666,46.666666666666664,TO REVIEW,Pending statistical analysis
570001,Field pH (Units),Field pH,400,Units,2019-2022,76,['EPA 150.1'],0,100.0,2021-04-14,6.82,7.14,7.211184210526315,7.21,7.3,7.46,0.0,0.1,"Mann_Kendall_Test(trend='decreasing', h=True, p=1.079504814649468e-06, z=-4.876562525063503, Tau=-0.3814035087719298, s=-1087.0, var_s=49594.333333333336, slope=-0.0025782013685239497, intercept=7.306682551319648)",decreasing,-1087.0,1.079504814649468e-06,-0.0025782013685239497,7.306682551319648,TO REVIEW,Pending statistical analysis
570001,Gemfibrozil (ng/L),Gemfibrozil,WRD100,ng/L,2019-2022,10,['LC-MS-MS'],1,90.0,2020-02-12,14.0,22.0,66.3333333333334,30.0,66.0,500.0,5.0,500.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.024763878224479674, z=-2.2450662753346866, Tau=-0.5777777777777777, s=-26.0, var_s=124.0, slope=-8.0, intercept=78.5)",decreasing,-26.0,0.024763878224479674,-8.0,78.5,TO REVIEW,Pending statistical analysis
570001,N-Nitrosodimethylamine (NDMA) (ng/L),N-Nitrosodimethylamine (NDMA),34438,ng/L,2020-2020,9,['EPA 521'],0,100.0,2020-03-25,22.0,26.0,34.55555555555556,35.0,39.0,48.0,2.0,2.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.9169652366288645, z=-0.10425720702853739, Tau=-0.05555555555555555, s=-2.0, var_s=92.0, slope=-0.75, intercept=38.0)",no trend,-2.0,0.9169652366288645,-0.75,38.0,TO REVIEW,Pending statistical analysis
570001,Source Temperature (F) (Degrees),Source Temperature (F),11,Degrees,2019-2022,26,['FIELD/SM2550B'],0,100.0,2021-07-07,69.0,72.6,74.68076923076924,73.6,76.5,82.0,0.0,0.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.00019320482079865364, z=3.727739638901771, Tau=0.5230769230769231, s=170.0, var_s=2055.3333333333335, slope=0.31875000000000053, intercept=69.915625)",increasing,170.0,0.00019320482079865364,0.31875000000000053,69.915625,TO REVIEW,Pending statistical analysis
570001,Sucralose (ng/L),Sucralose,WRD108,ng/L,2019-2022,39,['LC-MS-MS'],0,100.0,2020-11-04,23000.0,39000.0,49205.128205128196,50000.0,57000.0,75000.0,1000.0,10000.0,"Mann_Kendall_Test(trend='increasing', h=True, p=4.6870220733907786e-05, z=4.070709239434958, Tau=0.45479082321187586, s=337.0, var_s=6813.0, slope=607.1428571428571, intercept=38464.28571428572)",increasing,337.0,4.6870220733907786e-05,607.1428571428571,38464.28571428572,TO REVIEW,Pending statistical analysis
570001,Temperature (Degrees),Temperature,10,Degrees,2021-2022,50,['FIELD/SM2550B'],0,100.0,2021-08-18,20.7,22.9,25.062000000000005,24.5,27.8,29.4,0.0,0.1,"Mann_Kendall_Test(trend='decreasing', h=True, p=7.295931905937358e-05, z=-3.9664230395748925, Tau=-0.3877551020408163, s=-475.0, var_s=14281.0, slope=-0.125, intercept=27.6125)",decreasing,-475.0,7.295931905937358e-05,-0.125,27.6125,TO REVIEW,Pending statistical analysis
570001,Total Chlorine Residual (mg/L),Total Chlorine Residual,50060,mg/L,2019-2022,75,['SM 4500-CL G'],1,98.66666666666667,2021-05-12,0.01,1.5,1.8102666666666576,1.57,1.69,15.3,0.0,0.01,"Mann_Kendall_Test(trend='no trend', h=False, p=0.40721759462253115, z=-0.8287999887202989, Tau=-0.06558558558558558, s=-182.0, var_s=47693.333333333336, slope=-0.0010000000000000009, intercept=1.6070000000000002)",no trend,-182.0,0.40721759462253115,-0.0010000000000000009,1.6070000000000002,TO REVIEW,Pending statistical analysis
570001,Total Organic Carbon (mg/L),Total Organic Carbon,680,mg/L,2019-2022,141,['SM  5310C' 'SM 5310 C'],1,99.29078014184397,2021-12-08,0.3,6.2,6.509787234042558,6.6,6.9,15.0,0.2,6.0,"Mann_Kendall_Test(trend='increasing', h=True, p=2.9779604399537973e-05, z=4.175145204332293, Tau=0.23687943262411348, s=2338.0, var_s=313310.0, slope=0.005479452054794526, intercept=6.216438356164383)",increasing,2338.0,2.9779604399537973e-05,0.005479452054794526,6.216438356164383,TO REVIEW,Pending statistical analysis
