Site,Constituent,C_wo_units,STORET,Units,Max,DateOfMax,Methods,DL min,DL max,Nr. Non-Detects,Count,Date Range,Detection Rate,Action,Notes
100829,11CI-PF3OUdS (ug/L),11CI-PF3OUdS,C2817,ug/L,0.002,2021-06-16,['EPA 537.1'],0.002,0.002,3,3,2020-2021,0.0,Keep same frequency,Three or fewer samples
100829,Bromoethane (ug/L),Bromoethane,78137,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Bromodichloromethane (ug/L),Bromodichloromethane,32101,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2' 'EPA 551.1'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Bromochloromethane (ug/L),Bromochloromethane,A-012,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Bromochloroacetic acid (ug/L),Bromochloroacetic acid,A-038,ug/L,1.0,2022-04-06,['SM 6251B'],1.0,1.0,10,10,2020-2022,0.0,Reduce frequency,All samples are ND
100829,Bromobenzene (ug/L),Bromobenzene,81555,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Bromacil (ug/L),Bromacil,82198,ug/L,0.2,2018-10-02,['EPA 525.2'],0.1,0.2,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Bis (2-Chloroisopropyl) Ether (ug/L),Bis (2-Chloroisopropyl) Ether,34283,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Bis (2-Chloroethyl) Ether (ug/L),Bis (2-Chloroethyl) Ether,34273,ug/L,25.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,25.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Bis (2-Chloroethoxy) Methane (ug/L),Bis (2-Chloroethoxy) Methane,34278,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Beta-BHC (ug/L),Beta-BHC,39338,ug/L,0.1,2022-10-20,['525.2' 'EPA 525.2'],0.1,0.1,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
