Site,Constituent,c_nounits,STORET,Units,Date Range,Count,Methods,Nr. Non-Detects,Detection Rate,DateOfMax,Min,25th %ile,Mean,Median,75th %ile,Max,DL min,DL max,mann-kendall stats,trend,s,p,slope,intercept,Action,Notes
100829,Alkalinity (mg/L),Alkalinity,410,mg/L,2013-2022,55,['SM 2320B'],0,100.0,2016-04-12,49.0,83.0,89.94545454545455,90.0,98.0,120.0,2.0,2.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2133476981281186, z=-1.2444127354159982, Tau=-0.11582491582491583, s=-172.0, var_s=18882.666666666668, slope=-0.14285714285714285, intercept=93.85714285714286)",no trend,-172.0,0.2133476981281186,-0.14285714285714285,93.85714285714286,TO REVIEW,Pending statistical analysis
100829,"Alpha, Two Sigma Error (pCi/L)","Alpha, Two Sigma Error",1502,pCi/L,2013-2022,52,['EPA 900.0'],0,100.0,2016-04-12,0.24,0.58,1.3969230769230774,0.78,2.6,3.3,0.0,0.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.00011510108088974569, z=-3.856332121776114, Tau=-0.36877828054298645, s=-489.0, var_s=16013.666666666666, slope=-0.04000000000000002, intercept=1.8100000000000005)",decreasing,-489.0,0.00011510108088974569,-0.04000000000000002,1.8100000000000005,TO REVIEW,Pending statistical analysis
100829,Aluminum (ug/L),Aluminum,1105,ug/L,2013-2022,58,['200.8' 'EPA 200.8'],50,13.793103448275872,2017-06-13,20.0,0.0,14.07379310344816,0.0,0.0,310.0,20.0,40.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.660160118346282, z=0.43969210930246677, Tau=0.02661826981246219, s=44.0, var_s=9564.0, slope=0.0, intercept=20.0)",no trend,44.0,0.660160118346282,0.0,20.0,TO REVIEW,Pending statistical analysis
100829,Arsenic (ug/L),Arsenic,1002,ug/L,2013-2022,58,['200.8' 'EPA 200.8'],5,91.37931034482759,2013-10-03,1.0,1.7,2.032922824302134,2.1,2.4,4.7,1.0,2.0,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0025712767798768965, z=3.014824869521666, Tau=0.2716273442226255, s=449.0, var_s=22081.666666666668, slope=0.013793103448275858, intercept=1.7068965517241381)",increasing,449.0,0.0025712767798768965,0.013793103448275858,1.7068965517241381,TO REVIEW,Pending statistical analysis
100829,Barium (ug/L),Barium,1007,ug/L,2013-2022,58,['200.8' 'EPA 200.8'],0,100.0,2015-08-18,34.0,49.0,57.637931034482754,56.0,65.0,79.0,2.0,4.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=1.6106714415542456e-06, z=-4.796990615839124, Tau=-0.4325468844525106, s=-715.0, var_s=22154.333333333332, slope=-0.391304347826087, intercept=67.15217391304348)",decreasing,-715.0,1.6106714415542456e-06,-0.391304347826087,67.15217391304348,TO REVIEW,Pending statistical analysis
100829,"Beta, Two Sigma Error (pCi/L)","Beta, Two Sigma Error",3502,pCi/L,2013-2022,52,['EPA 900.0'],0,100.0,2015-04-09,0.25,0.51,0.9192115384615388,0.68,1.3,2.4,0.0,0.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=4.7616335029809775e-05, z=-4.067028923439624, Tau=-0.3891402714932127, s=-516.0, var_s=16034.666666666666, slope=-0.02046653144016227, intercept=1.206896551724138)",decreasing,-516.0,4.7616335029809775e-05,-0.02046653144016227,1.206896551724138,TO REVIEW,Pending statistical analysis
100829,"Bicarbonate as HCO3, Calculated (mg/L)","Bicarbonate as HCO3, Calculated",440,mg/L,2013-2022,55,['SM 2320B' 'SM2330B'],0,100.0,2016-04-12,60.0,99.0,107.85454545454546,110.0,120.0,140.0,2.0,2.0,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10443084464287988, z=-1.623742180631469, Tau=-0.1494949494949495, s=-222.0, var_s=18524.666666666668, slope=-0.23809523809523808, intercept=116.42857142857143)",no trend,-222.0,0.10443084464287988,-0.23809523809523808,116.42857142857143,TO REVIEW,Pending statistical analysis
100829,Boron (mg/L),Boron,1020,mg/L,2013-2022,58,['200.7 Rev 4.4' 'EPA 200.7'],4,93.10344827586206,2015-09-18,0.05,0.066,0.07398275862068966,0.08,0.089,0.099,0.05,0.05,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.002352047406656288, z=-3.0417530908014583, Tau=-0.27465214761040535, s=-454.0, var_s=22179.333333333332, slope=-0.00033333333333333365, intercept=0.09000000000000001)",decreasing,-454.0,0.002352047406656288,-0.00033333333333333365,0.09000000000000001,TO REVIEW,Pending statistical analysis
100829,Bromate (ug/L),Bromate,A-027,ug/L,2020-2022,12,['317' 'EPA 317'],1,91.66666666666667,2020-10-13,1.0,1.7,1.7000000000000002,1.8,2.0,2.1,1.0,1.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.03464046979418933, z=-2.1125363706585913, Tau=-0.4696969696969697, s=-31.0, var_s=201.66666666666666, slope=-0.03666666666666669, intercept=2.001666666666667)",decreasing,-31.0,0.03464046979418933,-0.03666666666666669,2.001666666666667,TO REVIEW,Pending statistical analysis
100829,Bromate by UV/VIS (ug/L),Bromate by UV/VIS,A-027,ug/L,2020-2022,12,['317' 'EPA 317'],1,91.66666666666667,2020-10-13,1.0,1.7,1.7000000000000002,1.8,2.0,2.1,1.0,1.0,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.03464046979418933, z=-2.1125363706585913, Tau=-0.4696969696969697, s=-31.0, var_s=201.66666666666666, slope=-0.03666666666666669, intercept=2.001666666666667)",decreasing,-31.0,0.03464046979418933,-0.03666666666666669,2.001666666666667,TO REVIEW,Pending statistical analysis
